Palabra,Frecuencia,Archivo
ampliado,1,CP18-1 UNFCC
ver,2,CP18-1 UNFCC
consciente,9,CP18-1 UNFCC
éxito,1,CP18-1 UNFCC
desempeñar,1,CP18-1 UNFCC
reforzamiento,3,CP18-1 UNFCC
vigilancia,1,CP18-1 UNFCC
deficiencia,1,CP18-1 UNFCC
aprendido,2,CP18-1 UNFCC
gubernamental,1,CP18-1 UNFCC
recopilación,3,CP18-1 UNFCC
síntesis,4,CP18-1 UNFCC
coincidir,1,CP18-1 UNFCC
vii,1,CP18-1 UNFCC
detallado,1,CP18-1 UNFCC
alcance,1,CP18-1 UNFCC
enunciar,1,CP18-1 UNFCC
preciso,1,CP18-1 UNFCC
propio,3,CP18-1 UNFCC
terminar,1,CP18-1 UNFCC
corresponder,1,CP18-1 UNFCC
evaluar,4,CP18-1 UNFCC
periódicamente,2,CP18-1 UNFCC
idoneidad,1,CP18-1 UNFCC
luz,1,CP18-1 UNFCC
contacto,2,CP18-1 UNFCC
president,2,CP18-1 UNFCC
necesario,9,CP18-1 UNFCC
comiencir,1,CP18-1 UNFCC
tardanza,1,CP18-1 UNFCC
señalar,2,CP18-1 UNFCC
quinto,9,CP18-1 UNFCC
clave,1,CP18-1 UNFCC
etapa,1,CP18-1 UNFCC
partir,5,CP18-1 UNFCC
asistencia,1,CP18-1 UNFCC
reúnar,2,CP18-1 UNFCC
recopilir,2,CP18-1 UNFCC
enumerado,1,CP18-1 UNFCC
determinir,2,CP18-1 UNFCC
laguna,2,CP18-1 UNFCC
solicitir,1,CP18-1 UNFCC
estudio,1,CP18-1 UNFCC
útil,1,CP18-1 UNFCC
resolver,4,CP18-1 UNFCC
estructurado,1,CP18-1 UNFCC
centrado,1,CP18-1 UNFCC
aspecto,2,CP18-1 UNFCC
material,1,CP18-1 UNFCC
dimanante,1,CP18-1 UNFCC
publicar,1,CP18-1 UNFCC
publiquen,1,CP18-1 UNFCC
después,2,CP18-1 UNFCC
fecha,1,CP18-1 UNFCC
celebración,1,CP18-1 UNFCC
observador,1,CP18-1 UNFCC
facilitado,2,CP18-1 UNFCC
cofacilitador,2,CP18-1 UNFCC
seleccionado,1,CP18-1 UNFCC
respectivamente,1,CP18-1 UNFCC
conducto,6,CP18-1 UNFCC
suministro,1,CP18-1 UNFCC
representación,1,CP18-1 UNFCC
fase,3,CP18-1 UNFCC
formar,2,CP18-1 UNFCC
preparativo,1,CP18-1 UNFCC
eficiente,1,CP18-1 UNFCC
duplicación,1,CP18-1 UNFCC
organicir,1,CP18-1 UNFCC
flexible,1,CP18-1 UNFCC
prever,3,CP18-1 UNFCC
suficiente,3,CP18-1 UNFCC
oportuno,1,CP18-1 UNFCC
extender,1,CP18-1 UNFCC
ininterrumpido,1,CP18-1 UNFCC
comienzo,1,CP18-1 UNFCC
seis,1,CP18-1 UNFCC
mes,1,CP18-1 UNFCC
salvo,1,CP18-1 UNFCC
aparecer,1,CP18-1 UNFCC
decisivo,1,CP18-1 UNFCC
viii,1,CP18-1 UNFCC
transición,5,CP18-1 UNFCC
capítulo,1,CP18-1 UNFCC
viiia,1,CP18-1 UNFCC
continuar,3,CP18-1 UNFCC
mayoría,1,CP18-1 UNFCC
aún,1,CP18-1 UNFCC
carecer,1,CP18-1 UNFCC
lucha,3,CP18-1 UNFCC
económicamente,2,CP18-1 UNFCC
otorgar,2,CP18-1 UNFCC
cierto,1,CP18-1 UNFCC
flexibilidad,2,CP18-1 UNFCC
prorrogacer,1,CP18-1 UNFCC
vigor,2,CP18-1 UNFCC
instrumento,11,CP18-1 UNFCC
jurídico,4,CP18-1 UNFCC
legal,2,CP18-1 UNFCC
reconocido,4,CP18-1 UNFCC
turquir,1,CP18-1 UNFCC
situación,4,CP18-1 UNFCC
organismo,4,CP18-1 UNFCC
mandato,2,CP18-1 UNFCC
iniciativa,4,CP18-1 UNFCC
cualquiera,1,CP18-1 UNFCC
ayudarla,1,CP18-1 UNFCC
señalir,1,CP18-1 UNFCC
competent,2,CP18-1 UNFCC
formule,1,CP18-1 UNFCC
ix,1,CP18-1 UNFCC
solicitada,3,CP18-1 UNFCC
llevir,2,CP18-1 UNFCC
noveno,10,CP18-1 UNFCC
plenario,10,CP18-1 UNFCC
representar,2,CP18-1 UNFCC
amenaza,1,CP18-1 UNFCC
potencialmente,1,CP18-1 UNFCC
irreversible,1,CP18-1 UNFCC
sociedad,2,CP18-1 UNFCC
humano,2,CP18-1 UNFCC
planeta,1,CP18-1 UNFCC
exigir,1,CP18-1 UNFCC
ampliar,4,CP18-1 UNFCC
buen,1,CP18-1 UNFCC
consecución,1,CP18-1 UNFCC
régimen,1,CP18-1 UNFCC
reforzado,6,CP18-1 UNFCC
guiar,1,CP18-1 UNFCC
reconocimiento,5,CP18-1 UNFCC
satisfactorio,1,CP18-1 UNFCC
inicio,1,CP18-1 UNFCC
mesa,1,CP18-1 UNFCC
fcccadp,2,CP18-1 UNFCC
entender,1,CP18-1 UNFCC
excepción,1,CP18-1 UNFCC
reglamento,1,CP18-1 UNFCC
aprobado,2,CP18-1 UNFCC
esfera,1,CP18-1 UNFCC
aplicable,2,CP18-1 UNFCC
miércoles,2,CP18-1 UNFCC
domingo,2,CP18-1 UNFCC
entrar,1,CP18-1 UNFCC
intenso,1,CP18-1 UNFCC
fcccadpl,1,CP18-1 UNFCC
transparencia,1,CP18-1 UNFCC
subrayar,2,CP18-1 UNFCC
secretario,1,CP18-1 UNFCC
convocar,1,CP18-1 UNFCC
dirigente,1,CP18-1 UNFCC
mundo,1,CP18-1 UNFCC
texto,2,CP18-1 UNFCC
negociación,2,CP18-1 UNFCC
lugar,1,CP18-1 UNFCC
mayo,2,CP18-1 UNFCC
fortalecer,3,CP18-1 UNFCC
fenómeno,15,CP18-1 UNFCC
meteorológico,4,CP18-1 UNFCC
extremo,4,CP18-1 UNFCC
gradual,11,CP18-1 UNFCC
papel,2,CP18-1 UNFCC
liderazgo,1,CP18-1 UNFCC
ecosistema,1,CP18-1 UNFCC
adopción,3,CP18-1 UNFCC
sinérgico,1,CP18-1 UNFCC
generado,1,CP18-1 UNFCC
margen,1,CP18-1 UNFCC
titulado,1,CP18-1 UNFCC
managing,1,CP18-1 UNFCC
the,1,CP18-1 UNFCC
risks,1,CP18-1 UNFCC
of,1,CP18-1 UNFCC
extreme,1,CP18-1 UNFCC
events,1,CP18-1 UNFCC
and,1,CP18-1 UNFCC
disaster,1,CP18-1 UNFCC
to,1,CP18-1 UNFCC
advancir,1,CP18-1 UNFCC
climatir,1,CP18-1 UNFCC
changir,1,CP18-1 UNFCC
adaptation,1,CP18-1 UNFCC
riesgo,17,CP18-1 UNFCC
desastre,2,CP18-1 UNFCC
global,1,CP18-1 UNFCC
hyogo,1,CP18-1 UNFCC
precaución,1,CP18-1 UNFCC
prevenir,1,CP18-1 UNFCC
causa,1,CP18-1 UNFCC
mitigar,1,CP18-1 UNFCC
faltar,1,CP18-1 UNFCC
certidumbre,1,CP18-1 UNFCC
razón,1,CP18-1 UNFCC
posponer,1,CP18-1 UNFCC
valorar,2,CP18-1 UNFCC
proseguir,1,CP18-1 UNFCC
párr,4,CP18-1 UNFCC
disponer,3,CP18-1 UNFCC
selección,1,CP18-1 UNFCC
depender,1,CP18-1 UNFCC
local,1,CP18-1 UNFCC
incluyent,1,CP18-1 UNFCC
estratégico,1,CP18-1 UNFCC
abarca,1,CP18-1 UNFCC
evalúen,1,CP18-1 UNFCC
elaborir,2,CP18-1 UNFCC
dirigido,2,CP18-1 UNFCC
distribución,3,CP18-1 UNFCC
observir,1,CP18-1 UNFCC
sistemáticamente,1,CP18-1 UNFCC
dato,5,CP18-1 UNFCC
contabilicir,1,CP18-1 UNFCC
caso,2,CP18-1 UNFCC
ampliación,1,CP18-1 UNFCC
reproducción,1,CP18-1 UNFCC
experimental,1,CP18-1 UNFCC
impulse,1,CP18-1 UNFCC
población,3,CP18-1 UNFCC
comunidad,1,CP18-1 UNFCC
civil,1,CP18-1 UNFCC
hidrometeorológico,1,CP18-1 UNFCC
metadato,1,CP18-1 UNFCC
subnacional,1,CP18-1 UNFCC
acrecentar,1,CP18-1 UNFCC
competencia,2,CP18-1 UNFCC
afectar,2,CP18-1 UNFCC
tal,1,CP18-1 UNFCC
geográfico,1,CP18-1 UNFCC
género,2,CP18-1 UNFCC
edad,1,CP18-1 UNFCC
indígenar,1,CP18-1 UNFCC
minoría,1,CP18-1 UNFCC
discapacidad,1,CP18-1 UNFCC
beneficiar,1,CP18-1 UNFCC
rehabilitación,1,CP18-1 UNFCC
pauta,1,CP18-1 UNFCC
migración,1,CP18-1 UNFCC
desplazamiento,1,CP18-1 UNFCC
movilidad,1,CP18-1 UNFCC
fortalecimiento,2,CP18-1 UNFCC
desglosado,1,CP18-1 UNFCC
causado,1,CP18-1 UNFCC
provisional,7,CP18-1 UNFCC
preparación,9,CP18-1 UNFCC
detectada,1,CP18-1 UNFCC
defín,1,CP18-1 UNFCC
enmarcada,1,CP18-1 UNFCC
contenida,1,CP18-1 UNFCC
si,1,CP18-1 UNFCC
estimación,1,CP18-1 UNFCC
contribución,6,CP18-1 UNFCC
nombrar,1,CP18-1 UNFCC
informir,1,CP18-1 UNFCC
especializado,1,CP18-1 UNFCC
suficiencia,1,CP18-1 UNFCC
previsibilidad,1,CP18-1 UNFCC
sostenibilidad,1,CP18-1 UNFCC
accesibilidad,1,CP18-1 UNFCC
fccccp,5,CP18-1 UNFCC
rendir,1,CP18-1 UNFCC
ordinario,1,CP18-1 UNFCC
impartido,3,CP18-1 UNFCC
académico,1,CP18-1 UNFCC
revisado,1,CP18-1 UNFCC
vicepresidente,1,CP18-1 UNFCC
actuar,1,CP18-1 UNFCC
unión,1,CP18-1 UNFCC
europeo,1,CP18-1 UNFCC
gobierno,5,CP18-1 UNFCC
noruego,3,CP18-1 UNFCC
modificar,1,CP18-1 UNFCC
pasar,1,CP18-1 UNFCC
cerca,1,CP18-1 UNFCC
empleada,1,CP18-1 UNFCC
impartar,1,CP18-1 UNFCC
desplegar,1,CP18-1 UNFCC
nombramiento,2,CP18-1 UNFCC
estructura,1,CP18-1 UNFCC
intermediario,1,CP18-1 UNFCC
banco,1,CP18-1 UNFCC
administrador,3,CP18-1 UNFCC
fiduciario,5,CP18-1 UNFCC
expresar,2,CP18-1 UNFCC
agradecimiento,2,CP18-1 UNFCC
alemania,3,CP18-1 UNFCC
méxico,1,CP18-1 UNFCC
namibia,1,CP18-1 UNFCC
polonia,1,CP18-1 UNFCC
república,4,CP18-1 UNFCC
corea,4,CP18-1 UNFCC
suizo,2,CP18-1 UNFCC
positivamente,1,CP18-1 UNFCC
consenso,1,CP18-1 UNFCC
escoger,1,CP18-1 UNFCC
songdo,1,CP18-1 UNFCC
incheon,1,CP18-1 UNFCC
ciudad,1,CP18-1 UNFCC
conciertir,1,CP18-1 UNFCC
velir,2,CP18-1 UNFCC
personalidad,1,CP18-1 UNFCC
prontitud,1,CP18-1 UNFCC
funcionario,1,CP18-1 UNFCC
prerrogativa,1,CP18-1 UNFCC
inmunidad,1,CP18-1 UNFCC
política,3,CP18-1 UNFCC
admisibilidad,1,CP18-1 UNFCC
funcionar,1,CP18-1 UNFCC
impartir,2,CP18-1 UNFCC
tácito,1,CP18-1 UNFCC
designada,1,CP18-1 UNFCC
rector,5,CP18-1 UNFCC
demanda,1,CP18-1 UNFCC
directo,1,CP18-1 UNFCC
indirecto,1,CP18-1 UNFCC
estableciero,3,CP18-1 UNFCC
propuesta,1,CP18-1 UNFCC
distribuyero,1,CP18-1 UNFCC
consiguiera,1,CP18-1 UNFCC
independiente,1,CP18-1 UNFCC
anfitrión,1,CP18-1 UNFCC
seleccionar,1,CP18-1 UNFCC
licitación,1,CP18-1 UNFCC
oportunamente,1,CP18-1 UNFCC
discontinuidad,1,CP18-1 UNFCC
administración,2,CP18-1 UNFCC
correspondierar,1,CP18-1 UNFCC
director,1,CP18-1 UNFCC
allá,1,CP18-1 UNFCC
concreta,1,CP18-1 UNFCC
atender,1,CP18-1 UNFCC
solicitud,1,CP18-1 UNFCC
presupuesto,3,CP18-1 UNFCC
agradecer,2,CP18-1 UNFCC
cuantir,1,CP18-1 UNFCC
acumulado,1,CP18-1 UNFCC
hecho,2,CP18-1 UNFCC
australiar,1,CP18-1 UNFCC
finlandiar,1,CP18-1 UNFCC
suecia,1,CP18-1 UNFCC
creado,1,CP18-1 UNFCC
dinamarco,2,CP18-1 UNFCC
españa,1,CP18-1 UNFCC
américo,1,CP18-1 UNFCC
arrastre,1,CP18-1 UNFCC
aproximadamente,1,CP18-1 UNFCC
acumulativo,1,CP18-1 UNFCC
francia,1,CP18-1 UNFCC
japón,1,CP18-1 UNFCC
reino,1,CP18-1 UNFCC
bretaño,1,CP18-1 UNFCC
irlando,1,CP18-1 UNFCC
norte,1,CP18-1 UNFCC
materialización,1,CP18-1 UNFCC
semana,4,CP18-1 UNFCC
escrito,2,CP18-1 UNFCC
diez,2,CP18-1 UNFCC
der,1,CP18-1 UNFCC
designar,1,CP18-1 UNFCC
funcione,1,CP18-1 UNFCC
rinda,1,CP18-1 UNFCC
cuenta,1,CP18-1 UNFCC
posteriormente,1,CP18-1 UNFCC
encomienda,1,CP18-1 UNFCC
reciente,1,CP18-1 UNFCC
aprovechar,1,CP18-1 UNFCC
olvidar,1,CP18-1 UNFCC
halla,1,CP18-1 UNFCC
introducir,1,CP18-1 UNFCC
modificación,1,CP18-1 UNFCC
actualizada,2,CP18-1 UNFCC
actualizado,1,CP18-1 UNFCC
incluyente,1,CP18-1 UNFCC
eficiencia,1,CP18-1 UNFCC
asignación,3,CP18-1 UNFCC
preliminar,2,CP18-1 UNFCC
ª,6,CP18-1 UNFCC
consejo,2,CP18-1 UNFCC
proyección,1,CP18-1 UNFCC
programación,2,CP18-1 UNFCC
fmam,2,CP18-1 UNFCC
plenamente,2,CP18-1 UNFCC
proporcionir,2,CP18-1 UNFCC
similar,1,CP18-1 UNFCC
deducir,1,CP18-1 UNFCC
posibilitar,2,CP18-1 UNFCC
solicitar,1,CP18-1 UNFCC
contribuyente,1,CP18-1 UNFCC
movilicir,1,CP18-1 UNFCC
cauce,1,CP18-1 UNFCC
anualmente,1,CP18-1 UNFCC
favor,8,CP18-1 UNFCC
complacido,1,CP18-1 UNFCC
reforma,2,CP18-1 UNFCC
asociación,1,CP18-1 UNFCC
cargo,1,CP18-1 UNFCC
número,1,CP18-1 UNFCC
logrado,1,CP18-1 UNFCC
completar,1,CP18-1 UNFCC
myanmar,1,CP18-1 UNFCC
somaliar,1,CP18-1 UNFCC
financiado,1,CP18-1 UNFCC
terminado,1,CP18-1 UNFCC
ocupar,2,CP18-1 UNFCC
fcccsbi,2,CP18-1 UNFCC
fcccsbiinf,1,CP18-1 UNFCC
distinto,1,CP18-1 UNFCC
objeto,1,CP18-1 UNFCC
programático,1,CP18-1 UNFCC
operacional,1,CP18-1 UNFCC
agosto,1,CP18-1 UNFCC
restante,3,CP18-1 UNFCC
determinar,1,CP18-1 UNFCC
ge,46,CP19-1 UNFCC
s,1,CP19-1 UNFCC
conferencio,82,CP19-1 UNFCC
parte,230,CP19-1 UNFCC
informe,67,CP19-1 UNFCC
º,26,CP19-1 UNFCC
período,47,CP19-1 UNFCC
sesión,48,CP19-1 UNFCC
celebrado,1,CP19-1 UNFCC
varsovia,17,CP19-1 UNFCC
noviembre,16,CP19-1 UNFCC
adición,1,CP19-1 UNFCC
segundo,7,CP19-1 UNFCC
medida,68,CP19-1 UNFCC
adoptada,5,CP19-1 UNFCC
índice,1,CP19-1 UNFCC
decisión,199,CP19-1 UNFCC
página,1,CP19-1 UNFCC
cp,270,CP19-1 UNFCC
intensificación,3,CP19-1 UNFCC
trabajo,34,CP19-1 UNFCC
relativo,20,CP19-1 UNFCC
plataforma,16,CP19-1 UNFCC
durr,8,CP19-1 UNFCC
mecanismo,46,CP19-1 UNFCC
internacional,20,CP19-1 UNFCC
pérdida,24,CP19-1 UNFCC
daño,22,CP19-1 UNFCC
relacionado,33,CP19-1 UNFCC
repercusión,10,CP19-1 UNFCC
cambio,54,CP19-1 UNFCC
climático,43,CP19-1 UNFCC
financiación,84,CP19-1 UNFCC
largo,11,CP19-1 UNFCC
plazo,13,CP19-1 UNFCC
clima,62,CP19-1 UNFCC
fondo,94,CP19-1 UNFCC
verde,47,CP19-1 UNFCC
orientación,38,CP19-1 UNFCC
arreglo,46,CP19-1 UNFCC
medio,37,CP19-1 UNFCC
ambiente,27,CP19-1 UNFCC
mundial,29,CP19-1 UNFCC
comité,36,CP19-1 UNFCC
permanente,26,CP19-1 UNFCC
quinto,7,CP19-1 UNFCC
examen,20,CP19-1 UNFCC
financiero,51,CP19-1 UNFCC
programa,16,CP19-1 UNFCC
basado,18,CP19-1 UNFCC
resultado,55,CP19-1 UNFCC
avanzar,2,CP19-1 UNFCC
pleno,8,CP19-1 UNFCC
realización,12,CP19-1 UNFCC
actividad,67,CP19-1 UNFCC
hacer,79,CP19-1 UNFCC
referencia,143,CP19-1 UNFCC
párrafo,154,CP19-1 UNFCC
nación,5,CP19-1 UNFCC
unidas,5,CP19-1 UNFCC
fccccpadd,47,CP19-1 UNFCC
convención,86,CP19-1 UNFCC
marco,43,CP19-1 UNFCC
distr,1,CP19-1 UNFCC
general,8,CP19-1 UNFCC
enero,1,CP19-1 UNFCC
español,1,CP19-1 UNFCC
original,1,CP19-1 UNFCC
inglés,1,CP19-1 UNFCC
coordinación,19,CP19-1 UNFCC
apoyo,39,CP19-1 UNFCC
mitigación,26,CP19-1 UNFCC
sector,15,CP19-1 UNFCC
forestal,121,CP19-1 UNFCC
país,106,CP19-1 UNFCC
desarrollo,73,CP19-1 UNFCC
incluir,40,CP19-1 UNFCC
institucional,6,CP19-1 UNFCC
modalidad,13,CP19-1 UNFCC
sistema,15,CP19-1 UNFCC
nacional,52,CP19-1 UNFCC
vigilancia,11,CP19-1 UNFCC
calendario,2,CP19-1 UNFCC
frecuencia,3,CP19-1 UNFCC
presentación,9,CP19-1 UNFCC
resumir,11,CP19-1 UNFCC
información,101,CP19-1 UNFCC
forma,26,CP19-1 UNFCC
abordar,8,CP19-1 UNFCC
respetar,5,CP19-1 UNFCC
salvaguardia,6,CP19-1 UNFCC
expuesta,3,CP19-1 UNFCC
apéndizar,6,CP19-1 UNFCC
i,21,CP19-1 UNFCC
directriz,14,CP19-1 UNFCC
procedimiento,11,CP19-1 UNFCC
evaluación,59,CP19-1 UNFCC
técnico,51,CP19-1 UNFCC
comunicación,22,CP19-1 UNFCC
presentado,10,CP19-1 UNFCC
nivel,111,CP19-1 UNFCC
emisión,63,CP19-1 UNFCC
propuesto,4,CP19-1 UNFCC
medición,5,CP19-1 UNFCC
notificación,8,CP19-1 UNFCC
verificación,6,CP19-1 UNFCC
lucha,6,CP19-1 UNFCC
factor,11,CP19-1 UNFCC
impulsor,8,CP19-1 UNFCC
deforestación,9,CP19-1 UNFCC
degradación,9,CP19-1 UNFCC
expresar,4,CP19-1 UNFCC
grave,1,CP19-1 UNFCC
preocupación,1,CP19-1 UNFCC
calentamiento,2,CP19-1 UNFCC
inequívoco,1,CP19-1 UNFCC
observado,1,CP19-1 UNFCC
décado,1,CP19-1 UNFCC
precedente,1,CP19-1 UNFCC
decenio,1,CP19-1 UNFCC
anterior,4,CP19-1 UNFCC
último,4,CP19-1 UNFCC
milenio,1,CP19-1 UNFCC
señalar,8,CP19-1 UNFCC
conclusión,7,CP19-1 UNFCC
recogido,5,CP19-1 UNFCC
contribución,12,CP19-1 UNFCC
grupo,16,CP19-1 UNFCC
intergubernamental,4,CP19-1 UNFCC
experto,33,CP19-1 UNFCC
advertir,1,CP19-1 UNFCC
representar,1,CP19-1 UNFCC
amenaza,1,CP19-1 UNFCC
urgente,6,CP19-1 UNFCC
potencialmente,1,CP19-1 UNFCC
irreversible,1,CP19-1 UNFCC
sociedad,2,CP19-1 UNFCC
humano,1,CP19-1 UNFCC
generación,1,CP19-1 UNFCC
futuro,9,CP19-1 UNFCC
planeta,1,CP19-1 UNFCC
continuación,1,CP19-1 UNFCC
gas,9,CP19-1 UNFCC
efecto,30,CP19-1 UNFCC
invernadero,8,CP19-1 UNFCC
causar,1,CP19-1 UNFCC
mayor,2,CP19-1 UNFCC
componente,1,CP19-1 UNFCC
limitar,1,CP19-1 UNFCC
necesario,13,CP19-1 UNFCC
reducción,8,CP19-1 UNFCC
sustancial,3,CP19-1 UNFCC
sostenido,2,CP19-1 UNFCC
subrayar,4,CP19-1 UNFCC
importante,3,CP19-1 UNFCC
desfar,1,CP19-1 UNFCC
existir,1,CP19-1 UNFCC
agregado,1,CP19-1 UNFCC
promesa,3,CP19-1 UNFCC
año,10,CP19-1 UNFCC
respecta,2,CP19-1 UNFCC
anual,19,CP19-1 UNFCC
trayectoria,1,CP19-1 UNFCC
deber,30,CP19-1 UNFCC
seguir,11,CP19-1 UNFCC
agregada,1,CP19-1 UNFCC
buen,2,CP19-1 UNFCC
probabilidad,1,CP19-1 UNFCC
mantener,3,CP19-1 UNFCC
aumento,5,CP19-1 UNFCC
temperatura,1,CP19-1 UNFCC
debajo,1,CP19-1 UNFCC
ºc,2,CP19-1 UNFCC
respecto,12,CP19-1 UNFCC
preindustrial,1,CP19-1 UNFCC
afirmar,2,CP19-1 UNFCC
consecución,1,CP19-1 UNFCC
objetivo,17,CP19-1 UNFCC
requerir,3,CP19-1 UNFCC
reforzamiento,1,CP19-1 UNFCC
régimen,1,CP19-1 UNFCC
multilateral,8,CP19-1 UNFCC
norma,3,CP19-1 UNFCC
aplicación,30,CP19-1 UNFCC
compromiso,9,CP19-1 UNFCC
existente,6,CP19-1 UNFCC
instar,11,CP19-1 UNFCC
kyoto,7,CP19-1 UNFCC
ratificar,1,CP19-1 UNFCC
aplicar,12,CP19-1 UNFCC
carácter,4,CP19-1 UNFCC
urgencia,4,CP19-1 UNFCC
enmienda,1,CP19-1 UNFCC
doha,1,CP19-1 UNFCC
destacar,2,CP19-1 UNFCC
labor,22,CP19-1 UNFCC
cooperación,9,CP19-1 UNFCC
materia,5,CP19-1 UNFCC
adaptación,24,CP19-1 UNFCC
facilitar,14,CP19-1 UNFCC
apoyar,8,CP19-1 UNFCC
encaminado,4,CP19-1 UNFCC
reducir,4,CP19-1 UNFCC
vulnerabilidad,2,CP19-1 UNFCC
reforzar,5,CP19-1 UNFCC
resiliencia,3,CP19-1 UNFCC
contar,33,CP19-1 UNFCC
necesidad,24,CP19-1 UNFCC
inmediato,2,CP19-1 UNFCC
particularmente,7,CP19-1 UNFCC
vulnerable,7,CP19-1 UNFCC
consciente,3,CP19-1 UNFCC
importancia,6,CP19-1 UNFCC
regional,6,CP19-1 UNFCC
mira,7,CP19-1 UNFCC
promover,9,CP19-1 UNFCC
establecimiento,2,CP19-1 UNFCC
alianza,1,CP19-1 UNFCC
adverso,15,CP19-1 UNFCC
presente,24,CP19-1 UNFCC
especial,11,CP19-1 UNFCC
acción,11,CP19-1 UNFCC
reforzado,6,CP19-1 UNFCC
considerar,6,CP19-1 UNFCC
elemento,18,CP19-1 UNFCC
proyecto,20,CP19-1 UNFCC
texto,3,CP19-1 UNFCC
negociación,3,CP19-1 UNFCC
tardar,6,CP19-1 UNFCC
celebrar,9,CP19-1 UNFCC
conjuntamente,2,CP19-1 UNFCC
diciembre,10,CP19-1 UNFCC
vistas,8,CP19-1 UNFCC
presentar,8,CP19-1 UNFCC
mayo,1,CP19-1 UNFCC
reiterar,3,CP19-1 UNFCC
guiar,1,CP19-1 UNFCC
principio,4,CP19-1 UNFCC
observar,7,CP19-1 UNFCC
recordar,32,CP19-1 UNFCC
cmp,2,CP19-1 UNFCC
pedir,49,CP19-1 UNFCC
agilizar,3,CP19-1 UNFCC
elaboración,13,CP19-1 UNFCC
instrumento,11,CP19-1 UNFCC
jurídico,6,CP19-1 UNFCC
acordado,6,CP19-1 UNFCC
fuerza,3,CP19-1 UNFCC
legal,3,CP19-1 UNFCC
aplicable,3,CP19-1 UNFCC
contexto,15,CP19-1 UNFCC
cumplimiento,2,CP19-1 UNFCC
plan,18,CP19-1 UNFCC
ambición,8,CP19-1 UNFCC
fin,15,CP19-1 UNFCC
identificar,4,CP19-1 UNFCC
estudiar,4,CP19-1 UNFCC
posible,13,CP19-1 UNFCC
permitir,8,CP19-1 UNFCC
elevar,2,CP19-1 UNFCC
asegurar,4,CP19-1 UNFCC
esfuerzo,5,CP19-1 UNFCC
intenso,2,CP19-1 UNFCC
dispuesto,9,CP19-1 UNFCC
decidir,29,CP19-1 UNFCC
determinación,6,CP19-1 UNFCC
aprobar,4,CP19-1 UNFCC
vigor,4,CP19-1 UNFCC
partir,5,CP19-1 UNFCC
elaborar,9,CP19-1 UNFCC
primero,11,CP19-1 UNFCC
cosa,15,CP19-1 UNFCC
transferencia,4,CP19-1 UNFCC
tecnología,15,CP19-1 UNFCC
fomento,13,CP19-1 UNFCC
capacidad,20,CP19-1 UNFCC
transparencia,6,CP19-1 UNFCC
prestación,4,CP19-1 UNFCC
b,31,CP19-1 UNFCC
invitar,18,CP19-1 UNFCC
iniciar,1,CP19-1 UNFCC
intensificar,6,CP19-1 UNFCC
preparativo,1,CP19-1 UNFCC
interno,1,CP19-1 UNFCC
relación,7,CP19-1 UNFCC
determinado,1,CP19-1 UNFCC
perjuicio,2,CP19-1 UNFCC
naturaleza,3,CP19-1 UNFCC
previsto,3,CP19-1 UNFCC
realizar,5,CP19-1 UNFCC
aprobación,6,CP19-1 UNFCC
alcanzar,5,CP19-1 UNFCC
enunciar,3,CP19-1 UNFCC
artículo,16,CP19-1 UNFCC
comunicar,2,CP19-1 UNFCC
suficiente,2,CP19-1 UNFCC
antelación,1,CP19-1 UNFCC
dentro,7,CP19-1 UNFCC
trimestre,1,CP19-1 UNFCC
caso,17,CP19-1 UNFCC
preparado,3,CP19-1 UNFCC
modo,6,CP19-1 UNFCC
promuevo,1,CP19-1 UNFCC
claridad,2,CP19-1 UNFCC
comprensión,3,CP19-1 UNFCC
dicho,6,CP19-1 UNFCC
prejuicio,1,CP19-1 UNFCC
c,27,CP19-1 UNFCC
determinar,5,CP19-1 UNFCC
proporcionar,13,CP19-1 UNFCC
mencionar,8,CP19-1 UNFCC
suprar,42,CP19-1 UNFCC
d,17,CP19-1 UNFCC
encarecidamente,1,CP19-1 UNFCC
desarrollado,20,CP19-1 UNFCC
entidad,30,CP19-1 UNFCC
encargado,10,CP19-1 UNFCC
funcionamiento,16,CP19-1 UNFCC
organización,14,CP19-1 UNFCC
condición,5,CP19-1 UNFCC
ofrezcar,1,CP19-1 UNFCC
conexa,1,CP19-1 UNFCC
mencionada,21,CP19-1 UNFCC
resolver,2,CP19-1 UNFCC
constituir,4,CP19-1 UNFCC
conformidad,29,CP19-1 UNFCC
bali,2,CP19-1 UNFCC
particular,9,CP19-1 UNFCC
concernir,1,CP19-1 UNFCC
provisión,3,CP19-1 UNFCC
tecnológico,9,CP19-1 UNFCC
aumentar,14,CP19-1 UNFCC
acuerdo,7,CP19-1 UNFCC
cancún,2,CP19-1 UNFCC
pertinente,33,CP19-1 UNFCC
lograr,6,CP19-1 UNFCC
así,14,CP19-1 UNFCC
aún,2,CP19-1 UNFCC
comunicado,5,CP19-1 UNFCC
meta,4,CP19-1 UNFCC
cuantificado,3,CP19-1 UNFCC
conjunto,10,CP19-1 UNFCC
economía,4,CP19-1 UNFCC
apropiado,10,CP19-1 UNFCC
según,19,CP19-1 UNFCC
corresponda,13,CP19-1 UNFCC
demora,1,CP19-1 UNFCC
cuantificada,3,CP19-1 UNFCC
si,20,CP19-1 UNFCC
limitación,2,CP19-1 UNFCC
corresponder,4,CP19-1 UNFCC
revisar,2,CP19-1 UNFCC
evaluar,5,CP19-1 UNFCC
